title,rating,year,popularity
The Shawshank Redemption,9.3,1994,2343110
The Godfather,9.2,1972,1620367
The Dark Knight,9.0,2008,2303232
The Godfather: Part II,9.0,1974,1129952
12 Angry Men,9.0,1957,689845
The Lord of the Rings: The Return of the King,8.9,2003,1642758
Pulp Fiction,8.9,1994,1826188
Schindler's List,8.9,1993,1213505
Inception,8.8,2010,2067042
Fight Club,8.8,1999,1854740
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,1661481
Forrest Gump,8.8,1994,1809221
"Il buono, il brutto, il cattivo",8.8,1966,688390
The Lord of the Rings: The Two Towers,8.7,2002,1485555
The Matrix,8.7,1999,1676426
Goodfellas,8.7,1990,1020727
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,1159315
One Flew Over the Cuckoo's Nest,8.7,1975,918088
Hamilton,8.6,2020,55291
Gisaengchung,8.6,2019,552778
Soorarai Pottru,8.6,2020,54995
Interstellar,8.6,2014,1512360
Cidade de Deus,8.6,2002,699256
Sen to Chihiro no kamikakushi,8.6,2001,651376
Saving Private Ryan,8.6,1998,1235804
The Green Mile,8.6,1999,1147794
La vita è bella,8.6,1997,623629
Se7en,8.6,1995,1445096
The Silence of the Lambs,8.6,1991,1270197
Star Wars,8.6,1977,1231473
Seppuku,8.6,1962,42004
Shichinin no samurai,8.6,1954,315744
It's a Wonderful Life,8.6,1946,405801
Joker,8.5,2019,939252
Whiplash,8.5,2014,717585
The Intouchables,8.5,2011,760360
The Prestige,8.5,2006,1190259
The Departed,8.5,2006,1189773
The Pianist,8.5,2002,729603
Gladiator,8.5,2000,1341460
American History X,8.5,1998,1034705
The Usual Suspects,8.5,1995,991208
Léon,8.5,1994,1035236
The Lion King,8.5,1994,942045
Terminator 2: Judgment Day,8.5,1991,995506
Nuovo Cinema Paradiso,8.5,1988,230763
Hotaru no haka,8.5,1988,235231
Back to the Future,8.5,1985,1058081
Once Upon a Time in the West,8.5,1968,302844
Psycho,8.5,1960,604211
Casablanca,8.5,1942,522093
Modern Times,8.5,1936,217881
City Lights,8.5,1931,167839
Capharnaüm,8.4,2018,62635
Ayla: The Daughter of War,8.4,2017,34112
Vikram Vedha,8.4,2017,28401
Kimi no na wa.,8.4,2016,194838
Dangal,8.4,2016,156479
Spider-Man: Into the Spider-Verse,8.4,2018,375110
Avengers: Endgame,8.4,2019,809955
Avengers: Infinity War,8.4,2018,834477
Coco,8.4,2017,384171
Django Unchained,8.4,2012,1357682
The Dark Knight Rises,8.4,2012,1516346
3 Idiots,8.4,2009,344445
Taare Zameen Par,8.4,2007,168895
WALL·E,8.4,2008,999790
The Lives of Others,8.4,2006,358685
Oldeuboi,8.4,2003,515451
Memento,8.4,2000,1125712
Mononoke-hime,8.4,1997,343171
Once Upon a Time in America,8.4,1984,311365
Raiders of the Lost Ark,8.4,1981,884112
The Shining,8.4,1980,898237
Apocalypse Now,8.4,1979,606398
Alien,8.4,1979,787806
Anand,8.4,1971,30273
Tengoku to jigoku,8.4,1963,34357
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,450474
Witness for the Prosecution,8.4,1957,108862
Paths of Glory,8.4,1957,178092
Rear Window,8.4,1954,444074
Sunset Blvd.,8.4,1950,201632
The Great Dictator,8.4,1940,203150
1917,8.3,2019,425844
Tumbbad,8.3,2018,27793
Andhadhun,8.3,2018,71875
Drishyam,8.3,2013,30722
Jagten,8.3,2012,281623
Jodaeiye Nader az Simin,8.3,2011,220002
Incendies,8.3,2010,150023
Miracle in cell NO.7,8.3,2019,33935
Babam ve Oglum,8.3,2005,78925
Inglourious Basterds,8.3,2009,1267869
Eternal Sunshine of the Spotless Mind,8.3,2004,911664
Amélie,8.3,2001,703810
Snatch,8.3,2000,782001
Requiem for a Dream,8.3,2000,766870
American Beauty,8.3,1999,1069738
Good Will Hunting,8.3,1997,861606
Bacheha-Ye aseman,8.3,1997,65341
Toy Story,8.3,1995,887429
Braveheart,8.3,1995,959181
Reservoir Dogs,8.3,1992,918562
Full Metal Jacket,8.3,1987,675146
Idi i smotri,8.3,1985,59056
Aliens,8.3,1986,652719
Amadeus,8.3,1984,369007
Scarface,8.3,1983,740911
Star Wars: Episode VI - Return of the Jedi,8.3,1983,950470
Das Boot,8.3,1981,231855
Taxi Driver,8.3,1976,724636
The Sting,8.3,1973,241513
A Clockwork Orange,8.3,1971,757904
2001: A Space Odyssey,8.3,1968,603517
Per qualche dollaro in più,8.3,1965,232772
Lawrence of Arabia,8.3,1962,268085
The Apartment,8.3,1960,164363
North by Northwest,8.3,1959,299198
Vertigo,8.3,1958,364368
Singin' in the Rain,8.3,1952,218957
Ikiru,8.3,1952,68463
Ladri di biciclette,8.3,1948,146427
Double Indemnity,8.3,1944,143525
Citizen Kane,8.3,1941,403351
M - Eine Stadt sucht einen Mörder,8.3,1931,143434
Metropolis,8.3,1927,159992
The Kid,8.3,1921,113314
Chhichhore,8.2,2019,33893
Uri: The Surgical Strike,8.2,2018,43444
K.G.F: Chapter 1,8.2,2018,36680
Green Book,8.2,2018,377884
"Three Billboards Outside Ebbing, Missouri",8.2,2017,432610
Talvar,8.2,2015,31142
Baahubali 2: The Conclusion,8.2,2017,75348
Klaus,8.2,2019,104761
Drishyam,8.2,2015,70367
Queen,8.2,2013,60701
Mandariinid,8.2,2013,40382
Bhaag Milkha Bhaag,8.2,2013,61137
Gangs of Wasseypur,8.2,2012,82365
Udaan,8.2,2010,42341
Paan Singh Tomar,8.2,2012,33237
El secreto de sus ojos,8.2,2009,193217
Warrior,8.2,2011,435950
Shutter Island,8.2,2010,1129894
Up,8.2,2009,935507
The Wolf of Wall Street,8.2,2013,1187498
Chak De! India,8.2,2007,74129
There Will Be Blood,8.2,2007,517359
Pan's Labyrinth,8.2,2006,618623
Toy Story 3,8.2,2010,757032
V for Vendetta,8.2,2005,1032749
Rang De Basanti,8.2,2006,111937
Black,8.2,2005,33354
Batman Begins,8.2,2005,1308302
"Swades: We, the People",8.2,2004,83005
Der Untergang,8.2,2004,331308
Hauru no ugoku shiro,8.2,2004,333915
A Beautiful Mind,8.2,2001,848920
Hera Pheri,8.2,2000,57057
"Lock, Stock and Two Smoking Barrels",8.2,1998,535216
L.A. Confidential,8.2,1997,531967
Eskiya,8.2,1996,64118
Heat,8.2,1995,577113
Casino,8.2,1995,466276
Andaz Apna Apna,8.2,1994,49300
Unforgiven,8.2,1992,375935
Indiana Jones and the Last Crusade,8.2,1989,692366
Dom za vesanje,8.2,1988,26402
Tonari no Totoro,8.2,1988,291180
Die Hard,8.2,1988,793164
Ran,8.2,1985,112505
Raging Bull,8.2,1980,321860
Stalker,8.2,1979,116945
Höstsonaten,8.2,1978,26875
The Message,8.2,1976,43885
Sholay,8.2,1975,51284
Monty Python and the Holy Grail,8.2,1975,500875
The Great Escape,8.2,1963,224730
To Kill a Mockingbird,8.2,1962,293811
Yôjinbô,8.2,1961,111244
Judgment at Nuremberg,8.2,1961,69458
